Leg1,Leg2,Leg3,Leg4,Type,Latest,Change,Open,High,Low,Previous,Volume,Time
CLU6,CLV6,,,SP,2.34,0.09,2.17,2.53,2.15,2.25,3258,"08:25 CT"
CLU6,CLV6,CLX6,,BF,0.67,-0.02,0.64,0.78,0.64,0.69,269,"08:23 CT"
CLU6,CLV6,CLX6,CLZ6,SA,78.73,1.24,0,78.73,78.73,77.49,N/A,2026-04-22
CLU6,CLX6,,,SP,4,0.19,3.7,4.27,3.7,3.81,1110,"08:26 CT"
CLU6,CLZ6,,,SP,5.3,0.25,4.9,5.65,4.87,5.05,5697,"08:27 CT"
CLU6,CLZ6,CLH7,,BF,2.39,-0.05,2.64,2.72,2.39,2.44,28,"07:17 CT"
CLU6,CLF7,,,SP,6.28,0.19,5.94,6.76,5.94,6.09,161,"08:14 CT"
CLU6,CLG7,,,SP,7.15,0.2,6.86,7.58,6.83,6.95,66,"08:14 CT"
CLU6,CLH7,,,SP,7.92,0.26,7.65,8.54,7.48,7.66,107,"08:17 CT"
CLU6,CLJ7,,,SP,8.22,0.68,0,8.22,8.22,7.54,N/A,2026-04-22
CLU6,CLK7,,,SP,8.67,0.73,0,8.67,8.67,7.94,N/A,2026-04-22
CLU6,CLM7,,,SP,8.72,0.45,8.18,9.06,8.18,8.27,2,2026-04-22
CLU6,CLN7,,,SP,9.44,0.83,0,9.44,9.44,8.61,N/A,2026-04-22
CLU6,CLQ7,,,SP,9.8,0.87,0,9.8,9.8,8.93,N/A,2026-04-22
CLU6,CLU7,,,SP,10.3,1.1,10.3,10.3,10.11,9.2,1,2026-04-22
CLU6,CLV7,,,SP,10.38,0.94,0,10.38,10.38,9.44,N/A,2026-04-22
CLU6,CLX7,,,SP,10.63,0.98,0,10.63,10.63,9.65,N/A,2026-04-22
CLU6,CLZ7,,,SP,11.42,0.54,12.06,12.06,11.42,10.88,2,"04:18 CT"
CLU6,CLF8,,,SP,11.17,1.03,0,11.17,11.17,10.14,N/A,2026-04-22
CLU6,CLG8,,,SP,11.46,1.07,0,11.46,11.46,10.39,N/A,2026-04-22
CLU6,CLH8,,,SP,11.72,1.09,0,11.72,11.72,10.63,N/A,2026-04-22
CLU6,CLJ8,,,SP,11.94,1.11,0,11.94,11.94,10.83,N/A,2026-04-22
CLU6,CLK8,,,SP,12.11,1.14,0,12.11,12.11,10.97,N/A,2026-04-22
CLU6,CLM8,,,SP,12.26,1.16,0,12.26,12.26,11.1,N/A,2026-04-22
CLU6,CLN8,,,SP,12.45,1.18,0,12.45,12.45,11.27,N/A,2026-04-22
CLU6,CLQ8,,,SP,12.66,1.19,0,12.66,12.66,11.47,N/A,2026-04-22
CLU6,CLU8,,,SP,12.87,1.2,0,12.87,12.87,11.67,N/A,2026-04-22
CLU6,CLV8,,,SP,13.06,1.22,0,13.06,13.06,11.84,N/A,2026-04-22
CLU6,CLX8,,,SP,13.21,1.25,0,13.21,13.21,11.96,N/A,2026-04-22
CLU6,CLZ8,,,SP,13.36,1.25,0,13.36,13.36,12.11,N/A,2026-04-22
CLU6,CLF9,,,SP,13.56,1.25,0,13.56,13.56,12.31,N/A,2026-04-22
CLU6,CLG9,,,SP,13.77,1.27,0,13.77,13.77,12.5,N/A,2026-04-22
CLU6,CLH9,,,SP,13.96,1.28,0,13.96,13.96,12.68,N/A,2026-04-22
CLU6,CLJ9,,,SP,14.13,1.29,0,14.13,14.13,12.84,N/A,2026-04-22
